museum||place
http://dbpedia.org/resource/Mus%C3%A9e_G%C3%A9o-Charles||http://dbpedia.org/resource/%C3%89chirolles
http://dbpedia.org/resource/Mus%C3%A9e_G%C3%A9o-Charles||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_Herg%C3%A9||http://dbpedia.org/resource/Belgium
http://dbpedia.org/resource/Mus%C3%A9e_Jean_de_La_Fontaine||http://dbpedia.org/resource/Ch%C3%A2teau-Thierry
http://dbpedia.org/resource/Mus%C3%A9e_Jenisch||http://dbpedia.org/resource/Switzerland
http://dbpedia.org/resource/Mus%C3%A9e_Jenisch||http://dbpedia.org/resource/Vevey
http://dbpedia.org/resource/Mus%C3%A9e_Lambinet||http://dbpedia.org/resource/Versailles_(city)
http://dbpedia.org/resource/Mus%C3%A9e_Lambinet||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_M%C3%A9canique||http://dbpedia.org/resource/California
http://dbpedia.org/resource/Mus%C3%A9e_M%C3%A9canique||http://dbpedia.org/resource/San_Francisco
http://dbpedia.org/resource/Mus%C3%A9e_Malraux||http://dbpedia.org/resource/Le_Havre
http://dbpedia.org/resource/Mus%C3%A9e_Malraux||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_Marc_Chagall||http://dbpedia.org/resource/Nice
http://dbpedia.org/resource/Mus%C3%A9e_Marc_Chagall||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_Marmottan_Monet||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Mus%C3%A9e_Marmottan_Monet||http://dbpedia.org/resource/Louis-L%C3%A9opold_Boilly
http://dbpedia.org/resource/Mus%C3%A9e_Matisse_(Nice)||http://dbpedia.org/resource/Nice
http://dbpedia.org/resource/Mus%C3%A9e_Matisse_(Nice)||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_National_d'Art_Moderne||http://dbpedia.org/resource/Centre_Georges_Pompidou
http://dbpedia.org/resource/Mus%C3%A9e_National_d'Art_Moderne||http://dbpedia.org/resource/Metz
http://dbpedia.org/resource/Mus%C3%A9e_National_d'Art_Moderne||http://dbpedia.org/resource/Centre_Pompidou-Metz
http://dbpedia.org/resource/Mus%C3%A9e_Rodin||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Mus%C3%A9e_Rodin||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_Rodin||http://dbpedia.org/resource/H%C3%B4tel_Biron
http://dbpedia.org/resource/Mus%C3%A9e_Rude||http://dbpedia.org/resource/Dijon
http://dbpedia.org/resource/Mus%C3%A9e_Rude||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_d%E2%80%99histoire_de_la_m%C3%A9decine||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Mus%C3%A9e_d%E2%80%99histoire_de_la_m%C3%A9decine||http://dbpedia.org/resource/Paris_Descartes_University
http://dbpedia.org/resource/Mus%C3%A9e_d'Art_Moderne_de_C%C3%A9ret||http://dbpedia.org/resource/C%C3%A9ret
http://dbpedia.org/resource/Mus%C3%A9e_d'Art_Moderne_de_la_Ville_de_Paris||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Mus%C3%A9e_d'Art_Moderne_de_la_Ville_de_Paris||http://dbpedia.org/resource/Palais_de_Tokyo
http://dbpedia.org/resource/Mus%C3%A9e_d'Orsay||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_d'art_contemporain_de_Montr%C3%A9al||http://dbpedia.org/resource/Saint_Catherine_Street
http://dbpedia.org/resource/Mus%C3%A9e_d'art_contemporain_de_Montr%C3%A9al||http://dbpedia.org/resource/Montreal
http://dbpedia.org/resource/Mus%C3%A9e_d'art_sacr%C3%A9_de_Dijon||http://dbpedia.org/resource/Dijon
http://dbpedia.org/resource/Mus%C3%A9e_d'art_sacr%C3%A9_de_Dijon||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_de_Montmartre||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_de_l'%C3%89lys%C3%A9e||http://dbpedia.org/resource/Lausanne
http://dbpedia.org/resource/Mus%C3%A9e_de_l'%C3%89lys%C3%A9e||http://dbpedia.org/resource/Switzerland
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Air||http://dbpedia.org/resource/Paris%E2%80%93Le_Bourget_Airport
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Air||http://dbpedia.org/resource/Le_Bourget
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Am%C3%A9rique_francophone||http://dbpedia.org/resource/Quebec_City
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Am%C3%A9rique_francophone||http://dbpedia.org/resource/Quebec
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Arles_et_de_la_Provence_antiques||http://dbpedia.org/resource/Arles
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Arles_et_de_la_Provence_antiques||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Arm%C3%A9e||http://dbpedia.org/resource/Rue_de_Grenelle
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Homme||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Homme||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_de_l'Orangerie||http://dbpedia.org/resource/Place_de_la_Concorde
http://dbpedia.org/resource/Mus%C3%A9e_de_la_Fa%C3%AFence_de_Marseille||http://dbpedia.org/resource/Marseille
http://dbpedia.org/resource/Mus%C3%A9e_de_la_R%C3%A9sistance_et_de_la_D%C3%A9portation_%C3%A0_Grenoble||http://dbpedia.org/resource/Grenoble
http://dbpedia.org/resource/Mus%C3%A9e_de_la_R%C3%A9sistance_et_de_la_D%C3%A9portation_%C3%A0_Grenoble||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_de_la_civilisation||http://dbpedia.org/resource/Quebec_City
http://dbpedia.org/resource/Mus%C3%A9e_de_la_civilisation||http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Mus%C3%A9e_de_la_civilisation||http://dbpedia.org/resource/Quebec
http://dbpedia.org/resource/Mus%C3%A9e_des_Arts_Forains||http://dbpedia.org/resource/Paris
http://dbpedia.org/resource/Mus%C3%A9e_des_Arts_Forains||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_des_Augustins||http://dbpedia.org/resource/Toulouse
http://dbpedia.org/resource/Mus%C3%A9e_des_Augustins||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_des_Beaux-Arts_de_Caen||http://dbpedia.org/resource/Ch%C3%A2teau_de_Caen
http://dbpedia.org/resource/Mus%C3%A9e_des_Beaux-Arts_de_Dijon||http://dbpedia.org/resource/Dijon
http://dbpedia.org/resource/Mus%C3%A9e_des_Beaux-Arts_de_Dijon||http://dbpedia.org/resource/France
http://dbpedia.org/resource/Mus%C3%A9e_des_Beaux-Arts_de_Dijon||http://dbpedia.org/resource/Palace_of_the_Dukes_of_Burgundy
