artwork||museum
http://dbpedia.org/resource/Annunciation_with_two_Kneeling_Donors_(Lippi)||http://dbpedia.org/resource/Galleria_Nazionale_d'Arte_Antica
http://dbpedia.org/resource/Annunziata_Polyptych||http://dbpedia.org/resource/Santissima_Annunziata,_Florence
http://dbpedia.org/resource/Ansidei_Madonna||http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Antea_(Parmigianino)||http://dbpedia.org/resource/Museo_di_Capodimonte
http://dbpedia.org/resource/Antinous_Mondragone||http://dbpedia.org/resource/The_Louvre
http://dbpedia.org/resource/Antipodes_(sculpture)||http://dbpedia.org/resource/Hirshhorn_Museum_and_Sculpture_Garden
http://dbpedia.org/resource/Antonio_Fontanesi__001.jpg__1||http://dbpedia.org/resource/Sabauda_Gallery
http://dbpedia.org/resource/Apocalypse_Tapestry||http://dbpedia.org/resource/Ch%C3%A2teau_d'Angers
http://dbpedia.org/resource/Apolin%C3%A8re_Enameled||http://dbpedia.org/resource/Philadelphia_Museum_of_Art
http://dbpedia.org/resource/Apollo_Belvedere||http://dbpedia.org/resource/Vatican_Museums
http://dbpedia.org/resource/Apollo_and_Daphne_(Bernini)||http://dbpedia.org/resource/Galleria_Borghese
http://dbpedia.org/resource/Apollo_in_the_Forge_of_Vulcan||http://dbpedia.org/resource/Museo_del_Prado
http://dbpedia.org/resource/Apollo_of_Veii||http://dbpedia.org/resource/National_Etruscan_Museum
http://dbpedia.org/resource/Apostles_from_%C3%80ger||http://dbpedia.org/resource/Museu_Nacional_d'Art_de_Catalunya
http://dbpedia.org/resource/Apotheosis_of_Palermo||http://dbpedia.org/resource/Palazzo_Isnello
http://dbpedia.org/resource/Apotheosis_of_St._Louis||http://dbpedia.org/resource/Saint_Louis_Art_Museum
http://dbpedia.org/resource/Apparatus_and_Hand||http://dbpedia.org/resource/Salvador_Dali_Museum
http://dbpedia.org/resource/Apparition_of_Christ_to_the_Virgin||http://dbpedia.org/resource/Alte_Pinakothek
http://dbpedia.org/resource/Apparition_of_Face_and_Fruit_Dish_on_a_Beach||http://dbpedia.org/resource/Wadsworth_Atheneum
http://dbpedia.org/resource/April_Love_(painting)||http://dbpedia.org/resource/Tate_Britain
http://dbpedia.org/resource/Apse_from_La_Seu_d'Urgell||http://dbpedia.org/resource/Museu_Nacional_d'Art_de_Catalunya
http://dbpedia.org/resource/Apse_of_Sant_Climent_de_Ta%C3%BCll||http://dbpedia.org/resource/Museu_Nacional_d'Art_de_Catalunya
