(48.8492902734, 2.35621122947);Platanus;x hispanica;QUAI SAINT BERNARD;PARIS 5E ARRDT;375.0;25.0;181091;Platane
(48.8735408016, 2.29045015635);Koelreuteria;paniculata;JARDIN DE L AVENUE FOCH / 10 AVENUE FOCH;PARIS 16E ARRDT;155.0;8.0;183880;Savonnier
(48.8292532091, 2.41318205865);Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL;PARIS 12E ARRDT;504.0;27.0;185773;Platane
(48.852346005, 2.35182356011);Tamarix;n. sp.;SQUARE JEAN XXIII / 2 QUAI DE L ARCHEVECHE;PARIS 4E ARRDT;81.0;4.0;196249;Tamaris
(48.8823220504, 2.38408821582);Ginkgo;biloba;PARC DES BUTTES CHAUMONT;PARIS 19E ARRDT;270.0;24.0;223069;Arbre aux quarante écus
(48.8472736385, 2.25198968756);Magnolia;grandiflora;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;PARIS 16E ARRDT;178.0;10.0;22235;Magnolia
(48.8341740278, 2.4613206192);Quercus;robur;LAC DES MINIMES - ROUTE RONDE DES MINIMES;PARIS 12E ARRDT;422.0;327.0;25609;Chêne
(48.863856986, 2.39663716021);Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 78;PARIS 20E ARRDT;175.0;15.0;42938;Arbre aux quarante écus
(48.8200711234, 2.43516626469);Catalpa;bignonioides;PENTE DE GRAVELLE - AVENUE DE GRAVELLE / ROUTE DU MOULIN ROUGE;PARIS 12E ARRDT;289.0;10.0;51340;Catalpa
(48.893355459, 2.34682048372);Toona;sinensis;SQUARE KRIEGEL - VALRIMONT;PARIS 18E ARRDT;223.0;17.0;52284;Cedrele
(48.882331696, 2.31024539129);Aesculus;hippocastanum;PELOUSES DE LA PLACE DU GENERAL CATROUX;PARIS 17E ARRDT;383.0;25.0;64451;Marronnier
(48.8493511595, 2.34503292777);Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;PARIS 5E ARRDT;391.0;24.0;67474;Platane
(48.831421465, 2.41151437819);Diospyros;virginiana;ILE DE BERCY / LAC DAUMESNIL;PARIS 12E ARRDT;163.0;15.0;82401;Plaqueminier
(48.863392803, 2.39684653818);Ginkgo;biloba;CIMETIERE DU PERE LACHAISE / DIV 84;PARIS 20E ARRDT;165.0;20.0;84040;Arbre aux quarante écus
(48.8860986781, 2.3446801359);Pterocarya;fraxinifolia;SQUARE LOUISE MICHEL;PARIS 18E ARRDT;360.0;26.0;98936;Pterocarya
(48.8564741998, 2.39461847904);Platanus;x hispanica;BOULEVARD DE CHARONNE;PARIS 20E ARRDT;407.0;23.0;101752;Platane
(48.8277560491, 2.35926764063);Cedrus;libani;SQUARE DE CHOISY;PARIS 13E ARRDT;351.0;25.0;111957;Cèdre
