artwork,author
http://dbpedia.org/resource/Ek_Doosre_Se_Karte_Hain_Pyaar_Hum,http://dbpedia.org/resource/Abhijit_Sinha
http://dbpedia.org/resource/Junoon_–_Aisi_Nafrat_Toh_Kaisa_Ishq,http://dbpedia.org/resource/Abhijit_Sinha
http://dbpedia.org/resource/Kanamachi_(TV_series),http://dbpedia.org/resource/Abhimanyu_Mukherjee
http://dbpedia.org/resource/A_Shot_at_History,http://dbpedia.org/resource/Abhinav_Bindra
http://dbpedia.org/resource/Madhubala_–_Ek_Ishq_Ek_Junoon,http://dbpedia.org/resource/Abhishek_Kumar
http://dbpedia.org/resource/Enchant_(software),http://dbpedia.org/resource/AbiWord
http://dbpedia.org/resource/Tsunami:_The_Aftermath,http://dbpedia.org/resource/Abi_Morgan
http://dbpedia.org/resource/Birdsong_(TV_serial),http://dbpedia.org/resource/Abi_Morgan
http://dbpedia.org/resource/Sex_Traffic,http://dbpedia.org/resource/Abi_Morgan
http://dbpedia.org/resource/The_Hour_(BBC_TV_series),http://dbpedia.org/resource/Abi_Morgan
http://dbpedia.org/resource/River_(TV_series),http://dbpedia.org/resource/Abi_Morgan
http://dbpedia.org/resource/Eyo_(novel),http://dbpedia.org/resource/Abidemi_Sanusi
http://dbpedia.org/resource/Stars_of_David:_Prominent_Jews_Talk_About_Being_Jewish,http://dbpedia.org/resource/Abigail_Pogrebin
http://dbpedia.org/resource/Golden_Boy_(novel),http://dbpedia.org/resource/Abigail_Tarttelin
"http://dbpedia.org/resource/Chuck_Taylor,_All_Star",http://dbpedia.org/resource/Abraham_Aamidor
