museum,place
http://dbpedia.org/resource/Alberta_Central_Railway_Museum,http://dbpedia.org/resource/Wetaskiwin
http://dbpedia.org/resource/Alberta_Central_Railway_Museum,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Alberta_Flying_Heritage_Museum,"http://dbpedia.org/resource/Villeneuve,_Alberta"
http://dbpedia.org/resource/Alberta_Flying_Heritage_Museum,http://dbpedia.org/resource/Alberta
http://dbpedia.org/resource/Alberta_Flying_Heritage_Museum,http://dbpedia.org/resource/Edmonton/Villeneuve_Airport
http://dbpedia.org/resource/Alberta_Railway_Museum,http://dbpedia.org/resource/Alberta
http://dbpedia.org/resource/Alberta_Railway_Museum,http://dbpedia.org/resource/Edmonton
http://dbpedia.org/resource/Alberta_Railway_Museum,http://dbpedia.org/resource/Canada
http://dbpedia.org/resource/Alberta_Sports_Hall_of_Fame_and_Museum,"http://dbpedia.org/resource/Red_Deer,_Alberta"
http://dbpedia.org/resource/Albertina,http://dbpedia.org/resource/Vienna
http://dbpedia.org/resource/Albertina,http://dbpedia.org/resource/Austria
http://dbpedia.org/resource/Albuquerque_Museum_of_Art_and_History,http://dbpedia.org/resource/New_Mexico
http://dbpedia.org/resource/Albuquerque_Museum_of_Art_and_History,"http://dbpedia.org/resource/Albuquerque,_New_Mexico"
http://dbpedia.org/resource/Alderney_Society_Museum,http://dbpedia.org/resource/Alderney
http://dbpedia.org/resource/Alderney_Society_Museum,"http://dbpedia.org/resource/Saint_Anne,_Alderney"
http://dbpedia.org/resource/Aldrich_Contemporary_Art_Museum,http://dbpedia.org/resource/Connecticut
http://dbpedia.org/resource/Aldrich_Contemporary_Art_Museum,http://dbpedia.org/resource/United_States
http://dbpedia.org/resource/Aldrich_Contemporary_Art_Museum,"http://dbpedia.org/resource/Ridgefield,_Connecticut"
http://dbpedia.org/resource/Aleppo_Citadel_Museum,http://dbpedia.org/resource/Aleppo
http://dbpedia.org/resource/Aleppo_Citadel_Museum,http://dbpedia.org/resource/Citadel_of_Aleppo
http://dbpedia.org/resource/Aleppo_Citadel_Museum,http://dbpedia.org/resource/Syria
http://dbpedia.org/resource/Alexander_Brest_Museum_and_Gallery,"http://dbpedia.org/resource/Jacksonville,_Florida"
http://dbpedia.org/resource/Alexander_Grin_house_museum,http://dbpedia.org/resource/Stary_Krym
http://dbpedia.org/resource/Alexander_House_Center_for_Art_&_History,"http://dbpedia.org/resource/Port_Edwards,_Wisconsin"
http://dbpedia.org/resource/Alexander_I_Palace,http://dbpedia.org/resource/Taganrog
http://dbpedia.org/resource/Alfa_Romeo_Museum,http://dbpedia.org/resource/Arese
http://dbpedia.org/resource/Alfa_Romeo_Museum,http://dbpedia.org/resource/Province_of_Milan
http://dbpedia.org/resource/Alferaki_Palace,http://dbpedia.org/resource/Taganrog
http://dbpedia.org/resource/Alfercam_Museum,http://dbpedia.org/resource/Spain
http://dbpedia.org/resource/Alicante_Museum_of_Contemporary_Art,http://dbpedia.org/resource/Alicante
http://dbpedia.org/resource/Alicante_Museum_of_Contemporary_Art,http://dbpedia.org/resource/Spain
http://dbpedia.org/resource/Allahabad_Museum,http://dbpedia.org/resource/Allahabad
